genre,share_goty,share_all,overindex
回合制角色扮演,0.05,0.009,5.35
3D平台跳跃,0.05,0.019,2.68
西部动作冒险,0.05,0.019,2.68
生存恐怖,0.05,0.019,2.68
英雄射击,0.05,0.019,2.68
合作冒险,0.05,0.019,2.68
动作冒险,0.6,0.308,1.95
互动电影冒险,0.05,0.028,1.78
CRPG,0.05,0.028,1.78
第一人称射击,0.05,0.037,1.34
动作角色扮演,0.2,0.196,1.02
角色扮演,0.05,0.084,0.59
虚拟现实,0.0,0.009,0.0
机甲动作,0.0,0.009,0.0
策略角色扮演,0.0,0.037,0.0
第三人称射击,0.0,0.019,0.0
科幻角色扮演,0.0,0.028,0.0
生活模拟,0.0,0.009,0.0
解谜冒险,0.0,0.009,0.0
横向卷轴平台,0.0,0.009,0.0
模拟经营,0.0,0.009,0.0
平台跳跃,0.0,0.028,0.0
未来竞速,0.0,0.009,0.0
数字卡牌,0.0,0.028,0.0
战术射击,0.0,0.009,0.0
平台动作,0.0,0.009,0.0
太空角色扮演,0.0,0.009,0.0
大型多人在线角色扮演,0.0,0.019,0.0
增强现实,0.0,0.009,0.0
喜剧冒险,0.0,0.009,0.0
合家欢冒险,0.0,0.009,0.0
即时战略,0.0,0.009,0.0
卡丁车竞速,0.0,0.009,0.0
冒险,0.0,0.037,0.0
侦探冒险,0.0,0.009,0.0
VR平台跳跃,0.0,0.009,0.0
银河恶魔城,0.0,0.009,0.0
动作,0.0,0.0,
卡牌,0.0,0.0,
射击,0.0,0.0,
模拟,0.0,0.0,
竞速,0.0,0.0,
策略,0.0,0.0,
解谜,0.0,0.0,
