era,tag,count,share
2006-2010,开放世界,3,60.0
2006-2010,多人合作,0,0.0
2006-2010,在线,0,0.0
2006-2010,动作冒险,4,80.0
2006-2010,角色扮演,1,20.0
2006-2010,冒险,0,0.0
2006-2010,射击,1,20.0
2006-2010,平台跳跃,0,0.0
2011-2015,开放世界,4,80.0
2011-2015,多人合作,0,0.0
2011-2015,在线,0,0.0
2011-2015,动作冒险,3,60.0
2011-2015,角色扮演,3,60.0
2011-2015,冒险,1,20.0
2011-2015,射击,0,0.0
2011-2015,平台跳跃,0,0.0
2016-2020,开放世界,1,20.0
2016-2020,多人合作,1,20.0
2016-2020,在线,1,20.0
2016-2020,动作冒险,4,80.0
2016-2020,角色扮演,0,0.0
2016-2020,冒险,1,20.0
2016-2020,射击,1,20.0
2016-2020,平台跳跃,0,0.0
2021-2025,开放世界,1,20.0
2021-2025,多人合作,2,40.0
2021-2025,在线,0,0.0
2021-2025,动作冒险,1,20.0
2021-2025,角色扮演,3,60.0
2021-2025,冒险,1,20.0
2021-2025,射击,0,0.0
2021-2025,平台跳跃,1,20.0
