year,tag,rolling_share
2006,开放世界,100.0
2006,多人合作,0.0
2006,在线,0.0
2006,动作冒险,100.0
2006,角色扮演,100.0
2006,冒险,0.0
2006,射击,0.0
2006,平台跳跃,0.0
2007,开放世界,50.0
2007,多人合作,0.0
2007,在线,0.0
2007,动作冒险,50.0
2007,角色扮演,50.0
2007,冒险,0.0
2007,射击,50.0
2007,平台跳跃,0.0
2008,开放世界,66.7
2008,多人合作,0.0
2008,在线,0.0
2008,动作冒险,66.7
2008,角色扮演,33.3
2008,冒险,0.0
2008,射击,33.3
2008,平台跳跃,0.0
2009,开放世界,33.3
2009,多人合作,0.0
2009,在线,0.0
2009,动作冒险,66.7
2009,角色扮演,0.0
2009,冒险,0.0
2009,射击,33.3
2009,平台跳跃,0.0
2010,开放世界,66.7
2010,多人合作,0.0
2010,在线,0.0
2010,动作冒险,100.0
2010,角色扮演,0.0
2010,冒险,0.0
2010,射击,0.0
2010,平台跳跃,0.0
2011,开放世界,66.7
2011,多人合作,0.0
2011,在线,0.0
2011,动作冒险,100.0
2011,角色扮演,33.3
2011,冒险,0.0
2011,射击,0.0
2011,平台跳跃,0.0
2012,开放世界,66.7
2012,多人合作,0.0
2012,在线,0.0
2012,动作冒险,66.7
2012,角色扮演,33.3
2012,冒险,33.3
2012,射击,0.0
2012,平台跳跃,0.0
2013,开放世界,66.7
2013,多人合作,0.0
2013,在线,0.0
2013,动作冒险,66.7
2013,角色扮演,33.3
2013,冒险,33.3
2013,射击,0.0
2013,平台跳跃,0.0
2014,开放世界,66.7
2014,多人合作,0.0
2014,在线,0.0
2014,动作冒险,33.3
2014,角色扮演,33.3
2014,冒险,33.3
2014,射击,0.0
2014,平台跳跃,0.0
2015,开放世界,100.0
2015,多人合作,0.0
2015,在线,0.0
2015,动作冒险,66.7
2015,角色扮演,66.7
2015,冒险,0.0
2015,射击,0.0
2015,平台跳跃,0.0
2016,开放世界,66.7
2016,多人合作,33.3
2016,在线,33.3
2016,动作冒险,33.3
2016,角色扮演,66.7
2016,冒险,0.0
2016,射击,33.3
2016,平台跳跃,0.0
2017,开放世界,66.7
2017,多人合作,33.3
2017,在线,33.3
2017,动作冒险,66.7
2017,角色扮演,33.3
2017,冒险,0.0
2017,射击,33.3
2017,平台跳跃,0.0
2018,开放世界,33.3
2018,多人合作,33.3
2018,在线,33.3
2018,动作冒险,66.7
2018,角色扮演,0.0
2018,冒险,0.0
2018,射击,33.3
2018,平台跳跃,0.0
2019,开放世界,33.3
2019,多人合作,0.0
2019,在线,0.0
2019,动作冒险,100.0
2019,角色扮演,0.0
2019,冒险,0.0
2019,射击,0.0
2019,平台跳跃,0.0
2020,开放世界,0.0
2020,多人合作,0.0
2020,在线,0.0
2020,动作冒险,100.0
2020,角色扮演,0.0
2020,冒险,33.3
2020,射击,0.0
2020,平台跳跃,0.0
2021,开放世界,0.0
2021,多人合作,33.3
2021,在线,0.0
2021,动作冒险,66.7
2021,角色扮演,0.0
2021,冒险,66.7
2021,射击,0.0
2021,平台跳跃,0.0
2022,开放世界,33.3
2022,多人合作,33.3
2022,在线,0.0
2022,动作冒险,66.7
2022,角色扮演,33.3
2022,冒险,66.7
2022,射击,0.0
2022,平台跳跃,0.0
2023,开放世界,33.3
2023,多人合作,66.7
2023,在线,0.0
2023,动作冒险,33.3
2023,角色扮演,66.7
2023,冒险,33.3
2023,射击,0.0
2023,平台跳跃,0.0
2024,开放世界,33.3
2024,多人合作,33.3
2024,在线,0.0
2024,动作冒险,33.3
2024,角色扮演,66.7
2024,冒险,0.0
2024,射击,0.0
2024,平台跳跃,33.3
2025,开放世界,0.0
2025,多人合作,33.3
2025,在线,0.0
2025,动作冒险,0.0
2025,角色扮演,66.7
2025,冒险,0.0
2025,射击,0.0
2025,平台跳跃,33.3
