,Asobi团队,贝塞斯达游戏工作室,BioWare,暴雪娱乐,CD Projekt Red,FromSoftware（フロムソフトウェア）,Hazelight工作室,非理性游戏,拉瑞安工作室,顽皮狗,任天堂企划制作本部（Nintendo Entertainment Planning & Development）,Rockstar 游戏,沙落互动,圣莫尼卡工作室,Telltale游戏
Asobi团队,1.0,0.08912876272434575,0.01925683991469368,0.04779425501991144,0.06804475521583288,0.05903913620050303,0.056012177172742,0.007679700152705388,0.025250234349831868,0.46828230285498096,0.3930278908286777,0.12433822107178592,-0.0006809265248499674,0.12634575415891733,0.0361416489385413
贝塞斯达游戏工作室,0.08912876272434575,1.0,0.7832682051191016,0.8559692854281213,0.9436613798290048,0.8988747180056141,0.5943785410300937,0.4313297479061166,0.7918780850358185,0.6776840658695299,0.7725141042099919,0.8995850534833527,0.541251669950894,0.7796290826966285,0.1274281767451417
BioWare,0.01925683991469368,0.7832682051191016,1.0,0.7555354479167128,0.8557430705243911,0.6706844936996404,0.4311636341133948,0.34871319193323,0.7165762086354335,0.3166933291323043,0.46964257277719446,0.5363237241904684,0.8542509453072218,0.391906018660356,0.04720695956057422
暴雪娱乐,0.04779425501991144,0.8559692854281213,0.7555354479167128,1.0,0.862853455333916,0.8113610027099483,0.6983576709080326,0.5192114419328671,0.8426974791657484,0.4596197627418933,0.6370000190863482,0.6893776553767126,0.5127636100611491,0.5674962031657507,0.13675095696213507
CD Projekt Red,0.06804475521583288,0.9436613798290048,0.8557430705243911,0.862853455333916,1.0,0.8637079868160314,0.5723308306354407,0.39609739667763655,0.7990611417448508,0.6094720467170377,0.6772346113752292,0.8169002152689595,0.6580146221458113,0.7116469208576847,0.11747665347114442
FromSoftware（フロムソフトウェア）,0.05903913620050303,0.8988747180056141,0.6706844936996404,0.8113610027099483,0.8637079868160314,1.0,0.5068813992083602,0.49188424890849247,0.7849002756330976,0.598652770172801,0.6516603674963025,0.7924183056765016,0.40403886926616905,0.7068023474350719,0.09976870973988342
Hazelight工作室,0.056012177172742,0.5943785410300937,0.4311636341133948,0.6983576709080326,0.5723308306354407,0.5068813992083602,1.0,0.27815200231228243,0.7048581993937472,0.5115447758252938,0.5322992654312507,0.6071455061114959,0.24978148575175532,0.5704554443733892,0.5705861764636422
非理性游戏,0.007679700152705388,0.4313297479061166,0.34871319193323,0.5192114419328671,0.39609739667763655,0.49188424890849247,0.27815200231228243,1.0,0.6429157973704827,0.17794797145288485,0.27997720646691915,0.3178688274605045,0.18349704473383882,0.2365752921198237,0.02255801964946233
拉瑞安工作室,0.025250234349831868,0.7918780850358185,0.7165762086354335,0.8426974791657484,0.7990611417448508,0.7849002756330976,0.7048581993937472,0.6429157973704827,1.0,0.4264243615265786,0.5133807238138066,0.6279968845388397,0.5126618990272199,0.5427927157871999,0.14266881001967113
顽皮狗,0.46828230285498096,0.6776840658695299,0.3166933291323043,0.4596197627418933,0.6094720467170377,0.598652770172801,0.5115447758252938,0.17794797145288485,0.4264243615265786,1.0,0.7734000960833103,0.8164864177639942,0.14412979441903156,0.8312304962385306,0.28977850898180724
任天堂企划制作本部（Nintendo Entertainment Planning & Development）,0.3930278908286777,0.7725141042099919,0.46964257277719446,0.6370000190863482,0.6772346113752292,0.6516603674963025,0.5322992654312507,0.27997720646691915,0.5133807238138066,0.7734000960833103,1.0,0.8429069144444303,0.2380198132855368,0.7678379414438725,0.1272507525864205
Rockstar 游戏,0.12433822107178592,0.8995850534833527,0.5363237241904684,0.6893776553767126,0.8169002152689595,0.7924183056765016,0.6071455061114959,0.3178688274605045,0.6279968845388397,0.8164864177639942,0.8429069144444303,1.0,0.2941659610078996,0.9217869016904372,0.21707244086765148
沙落互动,-0.0006809265248499674,0.541251669950894,0.8542509453072218,0.5127636100611491,0.6580146221458113,0.40403886926616905,0.24978148575175532,0.18349704473383882,0.5126618990272199,0.14412979441903156,0.2380198132855368,0.2941659610078996,1.0,0.18386938011651238,0.013828428679977318
圣莫尼卡工作室,0.12634575415891733,0.7796290826966285,0.391906018660356,0.5674962031657507,0.7116469208576847,0.7068023474350719,0.5704554443733892,0.2365752921198237,0.5427927157871999,0.8312304962385306,0.7678379414438725,0.9217869016904372,0.18386938011651238,1.0,0.17692303287721048
Telltale游戏,0.0361416489385413,0.1274281767451417,0.04720695956057422,0.13675095696213507,0.11747665347114442,0.09976870973988342,0.5705861764636422,0.02255801964946233,0.14266881001967113,0.28977850898180724,0.1272507525864205,0.21707244086765148,0.013828428679977318,0.17692303287721048,1.0
