studio_id,studio,n_games,pca_x,pca_y,style_cluster
studio_asobi,Asobi团队,5,-0.49867727970068654,0.09523963651164367,2
studio_bethesda,贝塞斯达游戏工作室,8,-0.8450830647253823,-1.4391041507269573,1
studio_bioware,BioWare,9,-0.607591281861275,-0.3838775997424253,1
studio_blizzard,暴雪娱乐,8,-0.6554948460813018,0.06946119767401811,1
studio_cdpr,CD Projekt Red,7,-0.5496673184551292,-1.3436943069281542,1
studio_fromsoftware,FromSoftware（フロムソフトウェア）,8,-0.935067154155713,-0.6441915026640754,1
studio_hazelight,Hazelight工作室,4,-0.9424967523366997,5.501611965444286,3
studio_irrational,非理性游戏,7,-0.5867507021244963,-0.09710179740770984,2
studio_larian,拉瑞安工作室,8,-0.6245797454575744,0.175910381469921,1
studio_naughtydog,顽皮狗,9,-0.9099134087856675,-0.5445325380555587,1
studio_nintendoepd,任天堂企划制作本部（Nintendo Entertainment Planning & Development）,7,-0.6501801533363571,-0.3342700450409147,1
studio_rockstar,Rockstar 游戏,11,-1.2858828564480729,-1.0394187652033955,1
studio_sandfall,沙落互动,1,11.201605476153317,0.038376309317484675,4
studio_santamonica,圣莫尼卡工作室,6,-1.0623178928693084,-0.31539983137892064,1
studio_telltale,Telltale游戏,9,-1.0479030198156554,0.2609910467307547,2
