studio_id,studio,n_games,dominant_community,dominant_community_label,style_x,style_y
studio_asobi,Asobi团队,5,11,平台跳跃、VR平台跳跃,0.3951335150179864,-0.6907531758408542
studio_bethesda,贝塞斯达游戏工作室,8,4,动作角色扮演、动作冒险,0.07574558187965907,0.0695473384825384
studio_bioware,BioWare,9,2,角色扮演、科幻角色扮演,0.19121535698302622,0.3128961664243798
studio_blizzard,暴雪娱乐,8,5,动作角色扮演、英雄射击,-0.019245695481013566,0.19171628832138266
studio_cdpr,CD Projekt Red,7,9,动作角色扮演、动作冒险,0.10491267268183536,0.13208378831938444
studio_fromsoftware,FromSoftware（フロムソフトウェア）,8,7,动作角色扮演、动作冒险,0.016523956583385242,0.09869730837529526
studio_hazelight,Hazelight工作室,4,12,合作冒险、解谜冒险,-0.3092373853124299,-0.07302288729665173
studio_irrational,非理性游戏,7,8,第一人称射击、策略角色扮演,-0.3683682572763319,0.4386831211036617
studio_larian,拉瑞安工作室,8,6,动作角色扮演、CRPG,-0.10297669094590534,0.22875792469527392
studio_naughtydog,顽皮狗,9,1,动作冒险、平台跳跃,0.06065620504482926,-0.3101101354543565
studio_nintendoepd,任天堂企划制作本部（Nintendo Entertainment Planning & Development）,7,10,动作冒险、银河恶魔城,0.17403004660338003,-0.16661663672790106
studio_rockstar,Rockstar 游戏,11,0,动作冒险、西部动作冒险,0.03950249110910844,-0.08489528096700956
studio_sandfall,沙落互动,1,13,回合制角色扮演,0.3449853651512164,0.44370971129470044
studio_santamonica,圣莫尼卡工作室,6,0,动作冒险、西部动作冒险,0.010116873036028505,-0.17835442193854623
studio_telltale,Telltale游戏,9,3,冒险、互动电影冒险,-0.6129940350747741,-0.41233910879129737
