genre_id,name,parent,tier
genre_001,角色扮演,,1
genre_002,动作,,1
genre_003,射击,,1
genre_004,冒险,,1
genre_005,动作冒险,,1
genre_006,平台跳跃,,1
genre_007,策略,,1
genre_008,模拟,,1
genre_009,竞速,,1
genre_010,卡牌,,1
genre_011,解谜,,1
genre_012,虚拟现实,,1
genre_013,开放世界,,1
genre_014,多人合作,,1
genre_015,在线,,1
genre_016,动作角色扮演,角色扮演,2
genre_017,回合制角色扮演,角色扮演,2
genre_018,大型多人在线角色扮演,角色扮演,2
genre_019,CRPG,角色扮演,2
genre_020,太空角色扮演,角色扮演,2
genre_021,科幻角色扮演,角色扮演,2
genre_022,机甲动作,动作,2
genre_023,第一人称射击,射击,2
genre_024,第三人称射击,射击,2
genre_025,英雄射击,射击,2
genre_026,战术射击,射击,2
genre_027,互动电影冒险,冒险,2
genre_028,喜剧冒险,冒险,2
genre_029,合家欢冒险,冒险,2
genre_030,合作冒险,冒险,2
genre_031,解谜冒险,冒险,2
genre_032,侦探冒险,冒险,2
genre_033,生存恐怖,冒险,2
genre_034,西部动作冒险,动作冒险,2
genre_035,银河恶魔城,动作冒险,2
genre_036,3D平台跳跃,平台跳跃,2
genre_037,VR平台跳跃,平台跳跃,2
genre_038,横向卷轴平台,平台跳跃,2
genre_039,平台动作,平台跳跃,2
genre_040,即时战略,策略,2
genre_041,策略角色扮演,策略,2
genre_042,模拟经营,模拟,2
genre_043,生活模拟,模拟,2
genre_044,卡丁车竞速,竞速,2
genre_045,未来竞速,竞速,2
genre_046,数字卡牌,卡牌,2
genre_047,增强现实,虚拟现实,2
