child_id,parent_id
genre_016,genre_001
genre_017,genre_001
genre_018,genre_001
genre_019,genre_001
genre_020,genre_001
genre_021,genre_001
genre_022,genre_002
genre_023,genre_003
genre_024,genre_003
genre_025,genre_003
genre_026,genre_003
genre_027,genre_004
genre_028,genre_004
genre_029,genre_004
genre_030,genre_004
genre_031,genre_004
genre_032,genre_004
genre_033,genre_004
genre_034,genre_005
genre_035,genre_005
genre_036,genre_006
genre_037,genre_006
genre_038,genre_006
genre_039,genre_006
genre_040,genre_007
genre_041,genre_007
genre_042,genre_008
genre_043,genre_008
genre_044,genre_009
genre_045,genre_009
genre_046,genre_010
genre_047,genre_012
