game_id,award_id
game_001,award_game_001
game_002,award_game_002
game_003,award_game_003
game_004,award_game_004
game_005,award_game_005
game_006,award_game_006
game_007,award_game_007
game_008,award_game_008
game_009,award_game_009
game_010,award_game_010
game_011,award_game_011
game_012,award_game_012
game_013,award_game_013
game_014,award_game_014
game_015,award_game_015
game_016,award_game_016
game_017,award_game_017
game_018,award_game_018
game_019,award_game_019
game_020,award_game_020
