award_id:ID(Award),game_id:string,name:string,year:int,body:string
award_game_001,game_001,年度最佳游戏 (Game of the Year),2006,Spike VGA / VGX
award_game_002,game_002,年度最佳游戏 (Game of the Year),2011,Spike VGA / VGX
award_game_003,game_003,年度最佳游戏 (Game of the Year),2008,Spike VGA / VGX
award_game_004,game_004,年度最佳游戏 (Game of the Year),2013,Spike VGA / VGX
award_game_005,game_005,年度最佳游戏 (Game of the Year),2010,Spike VGA / VGX
award_game_006,game_006,年度最佳游戏 (Game of the Year),2007,Spike VGA / VGX
award_game_007,game_007,年度最佳游戏 (Game of the Year),2009,Spike VGA / VGX
award_game_008,game_008,年度最佳游戏 (Game of the Year),2020,The Game Awards
award_game_009,game_009,年度最佳游戏 (Game of the Year),2018,The Game Awards
award_game_010,game_010,年度最佳游戏 (Game of the Year),2024,The Game Awards
award_game_011,game_011,年度最佳游戏 (Game of the Year),2021,The Game Awards
award_game_012,game_012,年度最佳游戏 (Game of the Year),2014,The Game Awards
award_game_013,game_013,年度最佳游戏 (Game of the Year),2015,The Game Awards
award_game_014,game_014,年度最佳游戏 (Game of the Year),2023,The Game Awards
award_game_015,game_015,年度最佳游戏 (Game of the Year),2012,Spike VGA / VGX
award_game_016,game_016,年度最佳游戏 (Game of the Year),2025,The Game Awards
award_game_017,game_017,年度最佳游戏 (Game of the Year),2019,The Game Awards
award_game_018,game_018,年度最佳游戏 (Game of the Year),2022,The Game Awards
award_game_019,game_019,年度最佳游戏 (Game of the Year),2017,The Game Awards
award_game_020,game_020,年度最佳游戏 (Game of the Year),2016,The Game Awards
