:START_ID(Studio),:END_ID(Game),:TYPE
studio_bethesda,game_001,DEVELOPED
studio_bethesda,game_002,DEVELOPED
studio_rockstar,game_003,DEVELOPED
studio_rockstar,game_004,DEVELOPED
studio_rockstar,game_005,DEVELOPED
studio_irrational,game_006,DEVELOPED
studio_naughtydog,game_007,DEVELOPED
studio_naughtydog,game_008,DEVELOPED
studio_santamonica,game_009,DEVELOPED
studio_asobi,game_010,DEVELOPED
studio_hazelight,game_011,DEVELOPED
studio_bioware,game_012,DEVELOPED
studio_cdpr,game_013,DEVELOPED
studio_larian,game_014,DEVELOPED
studio_telltale,game_015,DEVELOPED
studio_sandfall,game_016,DEVELOPED
studio_fromsoftware,game_017,DEVELOPED
studio_fromsoftware,game_018,DEVELOPED
studio_nintendoepd,game_019,DEVELOPED
studio_blizzard,game_020,DEVELOPED
studio_bethesda,game_021,DEVELOPED
studio_bethesda,game_022,DEVELOPED
studio_bethesda,game_023,DEVELOPED
studio_bethesda,game_024,DEVELOPED
studio_bethesda,game_025,DEVELOPED
studio_bethesda,game_026,DEVELOPED
studio_rockstar,game_027,DEVELOPED
studio_rockstar,game_028,DEVELOPED
studio_rockstar,game_029,DEVELOPED
studio_rockstar,game_030,DEVELOPED
studio_rockstar,game_031,DEVELOPED
studio_rockstar,game_032,DEVELOPED
studio_rockstar,game_033,DEVELOPED
studio_rockstar,game_034,DEVELOPED
studio_irrational,game_035,DEVELOPED
studio_irrational,game_036,DEVELOPED
studio_irrational,game_037,DEVELOPED
studio_irrational,game_038,DEVELOPED
studio_irrational,game_039,DEVELOPED
studio_irrational,game_040,DEVELOPED
studio_naughtydog,game_041,DEVELOPED
studio_naughtydog,game_042,DEVELOPED
studio_naughtydog,game_043,DEVELOPED
studio_naughtydog,game_044,DEVELOPED
studio_naughtydog,game_045,DEVELOPED
studio_naughtydog,game_046,DEVELOPED
studio_naughtydog,game_047,DEVELOPED
studio_santamonica,game_048,DEVELOPED
studio_santamonica,game_049,DEVELOPED
studio_santamonica,game_050,DEVELOPED
studio_santamonica,game_051,DEVELOPED
studio_santamonica,game_052,DEVELOPED
studio_asobi,game_053,DEVELOPED
studio_asobi,game_054,DEVELOPED
studio_asobi,game_055,DEVELOPED
studio_asobi,game_056,DEVELOPED
studio_hazelight,game_057,DEVELOPED
studio_hazelight,game_058,DEVELOPED
studio_hazelight,game_059,DEVELOPED
studio_bioware,game_060,DEVELOPED
studio_bioware,game_061,DEVELOPED
studio_bioware,game_062,DEVELOPED
studio_bioware,game_063,DEVELOPED
studio_bioware,game_064,DEVELOPED
studio_bioware,game_065,DEVELOPED
studio_bioware,game_066,DEVELOPED
studio_bioware,game_067,DEVELOPED
studio_cdpr,game_068,DEVELOPED
studio_cdpr,game_069,DEVELOPED
studio_cdpr,game_070,DEVELOPED
studio_cdpr,game_071,DEVELOPED
studio_cdpr,game_072,DEVELOPED
studio_cdpr,game_073,DEVELOPED
studio_larian,game_074,DEVELOPED
studio_larian,game_075,DEVELOPED
studio_larian,game_076,DEVELOPED
studio_larian,game_077,DEVELOPED
studio_larian,game_078,DEVELOPED
studio_larian,game_079,DEVELOPED
studio_larian,game_080,DEVELOPED
studio_telltale,game_081,DEVELOPED
studio_telltale,game_082,DEVELOPED
studio_telltale,game_083,DEVELOPED
studio_telltale,game_084,DEVELOPED
studio_telltale,game_085,DEVELOPED
studio_telltale,game_086,DEVELOPED
studio_telltale,game_087,DEVELOPED
studio_telltale,game_088,DEVELOPED
studio_fromsoftware,game_089,DEVELOPED
studio_fromsoftware,game_090,DEVELOPED
studio_fromsoftware,game_091,DEVELOPED
studio_fromsoftware,game_092,DEVELOPED
studio_fromsoftware,game_093,DEVELOPED
studio_fromsoftware,game_094,DEVELOPED
studio_nintendoepd,game_095,DEVELOPED
studio_nintendoepd,game_096,DEVELOPED
studio_nintendoepd,game_097,DEVELOPED
studio_nintendoepd,game_098,DEVELOPED
studio_nintendoepd,game_099,DEVELOPED
studio_nintendoepd,game_100,DEVELOPED
studio_blizzard,game_101,DEVELOPED
studio_blizzard,game_102,DEVELOPED
studio_blizzard,game_103,DEVELOPED
studio_blizzard,game_104,DEVELOPED
studio_blizzard,game_105,DEVELOPED
studio_blizzard,game_106,DEVELOPED
studio_blizzard,game_107,DEVELOPED
