:START_ID(Game),:END_ID(Genre),:TYPE
game_001,genre_016,BELONGS_TO_GENRE
game_001,genre_013,BELONGS_TO_GENRE
game_001,genre_005,BELONGS_TO_GENRE
game_002,genre_016,BELONGS_TO_GENRE
game_002,genre_013,BELONGS_TO_GENRE
game_002,genre_005,BELONGS_TO_GENRE
game_003,genre_005,BELONGS_TO_GENRE
game_003,genre_013,BELONGS_TO_GENRE
game_004,genre_005,BELONGS_TO_GENRE
game_004,genre_013,BELONGS_TO_GENRE
game_005,genre_034,BELONGS_TO_GENRE
game_005,genre_013,BELONGS_TO_GENRE
game_005,genre_005,BELONGS_TO_GENRE
game_006,genre_023,BELONGS_TO_GENRE
game_007,genre_005,BELONGS_TO_GENRE
game_008,genre_005,BELONGS_TO_GENRE
game_008,genre_033,BELONGS_TO_GENRE
game_009,genre_005,BELONGS_TO_GENRE
game_010,genre_036,BELONGS_TO_GENRE
game_011,genre_030,BELONGS_TO_GENRE
game_011,genre_014,BELONGS_TO_GENRE
game_012,genre_001,BELONGS_TO_GENRE
game_012,genre_013,BELONGS_TO_GENRE
game_013,genre_016,BELONGS_TO_GENRE
game_013,genre_013,BELONGS_TO_GENRE
game_013,genre_005,BELONGS_TO_GENRE
game_014,genre_019,BELONGS_TO_GENRE
game_014,genre_014,BELONGS_TO_GENRE
game_015,genre_027,BELONGS_TO_GENRE
game_016,genre_017,BELONGS_TO_GENRE
game_017,genre_005,BELONGS_TO_GENRE
game_018,genre_016,BELONGS_TO_GENRE
game_018,genre_013,BELONGS_TO_GENRE
game_018,genre_005,BELONGS_TO_GENRE
game_019,genre_005,BELONGS_TO_GENRE
game_019,genre_013,BELONGS_TO_GENRE
game_020,genre_025,BELONGS_TO_GENRE
game_020,genre_015,BELONGS_TO_GENRE
game_020,genre_014,BELONGS_TO_GENRE
game_021,genre_016,BELONGS_TO_GENRE
game_021,genre_013,BELONGS_TO_GENRE
game_021,genre_005,BELONGS_TO_GENRE
