:START_ID(Genre),:END_ID(Genre),:TYPE
genre_013,genre_001,SUBCLASS_OF
genre_014,genre_013,SUBCLASS_OF
genre_015,genre_013,SUBCLASS_OF
genre_016,genre_001,SUBCLASS_OF
genre_017,genre_001,SUBCLASS_OF
genre_018,genre_001,SUBCLASS_OF
genre_019,genre_001,SUBCLASS_OF
genre_020,genre_001,SUBCLASS_OF
genre_021,genre_001,SUBCLASS_OF
genre_022,genre_010,SUBCLASS_OF
genre_023,genre_002,SUBCLASS_OF
genre_024,genre_003,SUBCLASS_OF
genre_025,genre_003,SUBCLASS_OF
genre_026,genre_003,SUBCLASS_OF
genre_027,genre_003,SUBCLASS_OF
genre_028,genre_003,SUBCLASS_OF
genre_029,genre_004,SUBCLASS_OF
genre_030,genre_004,SUBCLASS_OF
genre_031,genre_004,SUBCLASS_OF
genre_032,genre_004,SUBCLASS_OF
genre_033,genre_004,SUBCLASS_OF
genre_034,genre_004,SUBCLASS_OF
genre_035,genre_004,SUBCLASS_OF
genre_036,genre_005,SUBCLASS_OF
genre_037,genre_005,SUBCLASS_OF
genre_038,genre_005,SUBCLASS_OF
genre_039,genre_005,SUBCLASS_OF
genre_040,genre_006,SUBCLASS_OF
genre_041,genre_006,SUBCLASS_OF
genre_042,genre_006,SUBCLASS_OF
genre_043,genre_006,SUBCLASS_OF
genre_044,genre_007,SUBCLASS_OF
genre_045,genre_007,SUBCLASS_OF
genre_046,genre_008,SUBCLASS_OF
genre_047,genre_008,SUBCLASS_OF
genre_048,genre_009,SUBCLASS_OF
genre_049,genre_009,SUBCLASS_OF
genre_050,genre_010,SUBCLASS_OF
genre_051,genre_012,SUBCLASS_OF
