:START_ID(Game),:END_ID(Award),:TYPE
game_001,award_game_001,WON
game_002,award_game_002,WON
game_003,award_game_003,WON
game_004,award_game_004,WON
game_005,award_game_005,WON
game_006,award_game_006,WON
game_007,award_game_007,WON
game_008,award_game_008,WON
game_009,award_game_009,WON
game_010,award_game_010,WON
game_011,award_game_011,WON
game_012,award_game_012,WON
game_013,award_game_013,WON
game_014,award_game_014,WON
game_015,award_game_015,WON
game_016,award_game_016,WON
game_017,award_game_017,WON
game_018,award_game_018,WON
game_019,award_game_019,WON
game_020,award_game_020,WON
